,Rank,NCTId,BriefTitle,Condition,StudyType,EligibilityCriteria,EnrollmentCount,LocationCity,LocationCountry,LocationState,LocationZip,MinimumAge,MaximumAge,OverallStatus,Phase,ResponsiblePartyInvestigatorFullName,ResponsiblePartyInvestigatorAffiliation,LeadSponsorName,InterventionName,StartDate,CentralContactName
833,834,NCT04798976,Personalized Evidence-based Treatment in Patients With Invasive Breast Cancer,Breast Cancer-specific Survival,Observational,"Inclusion Criteria:

All women with stage I-III disease who survived at least 12 months post-diagnosis

Exclusion Criteria:

Unknown cause of death Treatment outside the region (thus precluding the treatment assessment)",3000,Novosibirsk,Russian Federation,,630090,,70 Years,Recruiting,,Evgeny Pokushalov,"Center of Personalized Medicine, Pirogova","Center of Personalized Medicine, Pirogova",neoadjuvant/adjuvant therapy,"March 1, 2021","Evgeny Pokushalov, Prof. MD PhD"
834,835,NCT01937507,Hepatic Artery Infusion With FOLFOX in Liver Metastasis From Breast Cancer,Metastatic Breast Cancer,Interventional,"Inclusion Criteria:

Performance status ECOG 0-2 and a life expectancy of >3 months.
Patients were required to have measurable disease in the liver, defined as lesions measuring >1 cm in largest diameter on spiral-computed tomography (CT) or magnetic resonance imaging (MRI)
Histologically confirmed metastatic advanced solid tumors involving the liver, liver replacement less than 70%
No bevacizumab (avastin) use within 4 weeks prior to enrollment.
Absence of portal vein thrombosis
Not a surgical candidate or patients refuge surgery at the time of enrollment
Loss of response to at least 1 line of systemic chemotherapy in metastatic setting
An asymptomatic extra-hepatic disease is allowed, provided that the extent of the metastatic disease in the liver represented the bulk of the metastatic disease.
History of liver-directed therapy is eligible at the investigator's discretion.
Adequate renal function with a calculated creatinine clearance greater than 60 mL/min.
Hepatic function as follows: Total Bilirubin ≤3 mg/dL, AST ≤5 times upper normal reference value, or ALT ≤ 5 times upper normal reference value.
Adequate bone marrow function (ANC ≥1500 cells/uL; PLT ≥ 100,000 cells/uL) before each therapy.
At least three weeks from previous immunotherapy, chemotherapy or radiotherapy before being enrolled in this study.
All females in childbearing age MUST have a negative serum HCG test unless patients have prior hysterectomy.

Exclusion Criteria:

Clinical or radiographic evidence of moderate amount of ascites.
History of cirrhosis with Child-Pugh class B or C.
Pregnant or lactating females.
Inability to complete informed consent process and adhere to protocol treatment plan and follow-up requirements.
Patients receiving any other investigational agents.
Patients with bleeding diathesis (clinical bleeding, prothrombin time =/> 1.5 X upper institutional normal value, INR =/> 1.5, activated partial thromboplastin time aPTT =/> 1.5 X upper institutional normal value), active gastric or duodenal ulcer.
History of thrombophilia, recurrent DVTs, diagnosis of phospholipid syndrome.
Past or current history of malignancy other than breast cancer with the exception of treated non-melanoma skin cancer or carcinoma in situ of the cervix, or other cancers cured by local therapy alone and a DFS ≥5 years.
Concurrent severe illness such as active infection, or psychiatric illness/social situations that would limit safety and compliance with study requirements.
Patients with clinically significant cardiovascular disease: myocardial infarction or unstable angina within 6 months, New York Heart Association Grade II or greater congestive heart failure, serious cardiac arrhythmia requiring medication, unstable angina pectoris, clinically significant peripheral vascular disease
Patients have untreated brain metastasis requiring or leptomeningeal metastases.",2,Goodyear,United States,Arizona,85338,18 Years,,Terminated,Phase 2,,,Western Regional Medical Center,HAI with FOLFOX,December 2012,
835,836,NCT02261389,Follow-up of Early Breast Cancer by Dynamic Evaluation of CEA and CA 15.3 Followed by 18FDG-PET,Breast Cancer,Interventional,"Inclusion Criteria:

Male or female ≥18 years.
Histologically confirmed stage I-III epithelial breast cancer.

Adequate surgery of breast and axilla:

patients must have undergone either a total mastectomy or breast conserving surgery
surgical margins of the resected specimen must be histologically free of invasive tumor.
Cohort 1: if chemotherapy and/or radiotherapy are indicated the patients must be randomized between 1 month and 2 months from the end of chemotherapy and/or radiotherapy; if only hormonal adjuvant therapy is indicated the patients must be randomized within 3 months from the completion of surgery
Cohort 2: patients must be randomized in the trial after 5 years of follow-up without relapse (but within year 6)
Signed informed consent obtained prior to any study-specific procedures.

Exclusion Criteria:

Histologically confirmed stage 0 epithelial breast cancer (carcinoma in situ).
Special histologies with a high or low risk of relapse (i.e. sarcoma and tubular carcinoma)
T1a and T1b tumors with all the following characteristics: G1-2 and N0 and RE > 10%, RPg > 10% and HER2 negative and Ki67≤14%
Evidence of distant metastases
Patients participating to other clinical trials requiring follow-up not equal to standard
Previous history of cancer within 5 years from randomization (except for appropriately treated carcinoma in situ of the cervix, non-melanoma skin carcinoma, stage I uterine cancer, or other non-breast malignancies with an outcome similar to those mentioned above)",1500,Bressanone,Italy,Bolzano,39042,18 Years,75 Years,Recruiting,Not Applicable,Claudio Zamagni MD,IRCCS Azienda Ospedaliero-Universitaria di Bologna,IRCCS Azienda Ospedaliero-Universitaria di Bologna,"Arm B, tumor markers assessment",September 2014,"Claudio Zamagni, MD"
836,837,NCT02895178,Lifestyles Of Health And Sustainability for Breast Cancer Survivors,Breast Cancer,Interventional,"Inclusion Criteria:

Have diagnosed as a stage of I-III breast cancer
Have undergone a lumpectomy or mastectomy
Have completed neoadjuvant/adjuvant chemotherapy and able to initiate Exercise program
Nonsmokers (i.e., not smoking during previous 12 months)
Able to provide physician clearance to participate in exercise program for 12 weeks

Exclusion Criteria:

History of chronic disease including diabetes, uncontrolled hypertension or thyroid disease
Weight reduction >= 10% within past 6 months
Metastatic disease
Participate in more than 60 minutes of exercise per week in the past 6 months
Cardiovascular, respiratory or musculoskeletal disease or joint problems that preclude moderate physical activity",60,Wonju,"Korea, Republic of",Gangwon-do,,18 Years,64 Years,Recruiting,Not Applicable,"In Deok Kong, MD",Wonju Severance Christian Hospital,Wonju Severance Christian Hospital,Combined aerobic and strength exercise training,May 2014,"Jae Seung Chang, Ph.D"
837,838,NCT00810017,Phase 2 Study of Trastuzumab and Etoposide for Her2 Positive Breast Cancer,HER-2 Positive Metastatic Breast Cancer,Interventional,"Inclusion Criteria:

Females or males with histologic confirmation of breast carcinoma and diagnosis of metastatic breast adenocarcinoma
Confirmed HER2 amplification by immunohistochemical staining (IHC) 3+ or FISH amplified (either primary or metastatic).
Have had any number of prior HER2 targeted therapy containing chemotherapies for treatment of breast cancer
Measurable extent of disease
Life expectancy of 3 months or greater
Patients must have adequate heart function, determined with ECHO or MUGA (ECHO preferred).
Patients must have adequate bone marrow and organ function
Patient of childbearing potential must be willing to use an effective means of contraception during their participation on trial
Greater than 3 weeks from prior radiation or chemotherapy; more than 1 week from prior hormonal therapy; and more than 6 weeks from prior treatment with nitrosoureas or mitomycin.
No serious intercurrent medical illness.
Controlled metastatic CNS disease ≥ 3 months
The ability to understand and willingness to sign a written informed consent form, and to comply with the protocol.

Exclusion Criteria:

Pregnant or nursing women
Patients who are poor medical risk because of other non-malignant systemic disease or active, uncontrolled infection.
Prior craniospinal radiation, or total body irradiation (TBI).
Patients receiving G-CSF (filgrastim or pegfilgrastim) or thrombopoietin (or other platelet growth factors) within the 3 weeks prior to enrollment (erythropoietin is allowed).
Prior chemotherapy within the last 3 weeks (last 6 weeks for nitrosureas/mitomycin).
Prior radiation therapy within the last 3 weeks; prior radiation therapy to indicator lesion (unless objective disease recurrence or progression within the radiation portal has been documented since completion of radiation).
Concomitant malignancies or previous malignancies within the last 5 years, with the exception of adequately treated basal or squamous cell carcinoma of the skin or carcinoma in situ of the cervix.
Current symptoms of angina or uncontrolled arrhythmias, uncontrolled hypertension with systolic blood pressure >=170 or diastolic blood pressure >=110.
Psychiatric illness precluding participation in study
Symptomatic intrinsic lung disease or extensive tumor involvement of the lungs, resulting in dyspnea at rest.
Carcinomatous meningitis or CNS mets not controlled for ≥ 3 months.",2,Washington,United States,District of Columbia,20010,18 Years,,Terminated,Phase 2,,,Medstar Health Research Institute,Etoposide,February 2009,
838,839,NCT01532232,Tobacco Dependence in Breast Cancer Patients Trial of Varenicline (Chantix),Breast Cancer,Observational,"Inclusion Criteria:

MSK patients diagnosed with breast cancer or have a mass suspicious of breast cancer at the time of enrollment, as per clinician judgment or EMR;
Self-reported current cigarette smoker (defined as daily smoking in the past seven days)
Advised to quit smoking by their MSK physician and willing to receive smoking cessation counseling and treatment; as per self report
Fluent in English

Exclusion Criteria:

Patients less than 18 years of age because the safety and efficacy of varenicline have not yet been tested in children;
Evidence of any known or suspected medical contraindications for use of varenicline (e.g., recent (within past two months) cardiovascular instability (including myocardial infarction or unstable angina; uncontrolled hypertension, significant neurological sequelae of cerebrovascular disease, or severe congestive heart failure (New York Heart Association class III or IV), severe chronic obstructive pulmonary disease; uncontrolled gastrointestinal, hepatic, or endocrine disease; or severe renal impairment.
Self-reported evidence of significant psychiatric history (e.g., schizophrenia, unstable bipolar disorder, panic disorder, untreated major depression) sufficient, in the investigators' judgment, to preclude participation in the clinical trial;
Self-reported evidence of recent substance abuse or heavy alcohol use (> 14 drinks weekly) in the last 6 months;
Self-reported recent use (in the past 30 days) or planned use of nicotine replacement therapy (NRT) or other FDA approved cessation pharmacotherapy (bupropion);
Pre-menopausal women who are pregnant as per EMR
Women who are breast-feeding as per self-report.",7,New York,United States,New York,10065,18 Years,,Terminated,,,,Memorial Sloan Kettering Cancer Center,placebo,February 2012,
839,840,NCT04160182,Feasibility and Effectiveness of an Internet-based Intervention to Manage Fatigue in Breast Cancer Survivors,Breast Cancer,Interventional,"Inclusion Criteria:

breast cancer diagnoses
not currently receiving active treatment in the form of chemotherapy or radiation therapy
at least 18 years of age
fatigue severe enough to limit daily activities (score ≥ 4 on 7-point Fatigue Severity Scale)(Krupp, LaRocca, Muir-Nash, & Steinberg, 1989);
functional English fluency and literacy;
Participant has a smart device that operates on the Android or Apple platform
Participant is able to use the Ecological Momentary Assessment application before going to bed every night

Exclusion Criteria:

self-reported history of diagnosis of co-morbidities that have been associated with poor sleep and fatigue: chronic insomnia, chronic fatigue syndrome, unstable heart, lung, or neuromuscular disease, insulin-dependent diabetes, sleep apnea, chronic oral steroid therapy, and night-shift employment,
Disability due to a diagnosis other then breast cancer
Currently taking medication for depression, sleep issues, or fatigue.",0,Toledo,United States,Ohio,43606,18 Years,,Withdrawn,Not Applicable,Danielle Mockensturm,University of Toledo Health Science Campus,Danielle Mockensturm,Energy Conservation Work Simplification Education,"January 27, 2020",
840,841,NCT00032136,Exemestane Compared With Tamoxifen in Treating Postmenopausal Women With Breast Cancer,Breast Cancer,Interventional,"DISEASE CHARACTERISTICS:

Histologically or cytologically confirmed early adenocarcinoma of the breast

Completely excised by surgery with curative intent (R0)

Any N OR
Any primary tumor greater than 3 cm OR
Any primary tumor grade III and greater than 1 cm
M0
No positive supraclavicular nodes

Hormone receptor status:

Estrogen and/or progesterone receptor positive

PATIENT CHARACTERISTICS:

Age:

Any age
See Menopausal status

Sex:

Female

Menopausal status:

Postmenopausal

Any age with bilateral oophorectomy or amenorrhea for at least 5 years OR

Age 50 or over:

Natural amenorrhea for at least 1 year OR
Chemotherapy-induced amenorrhea for at least 2 years OR
Radiation-induced amenorrhea (at least 3 months since prior radiotherapy) OR

Under age 50:

If amenorrheic for less than 5 years (any cause) or prior hysterectomy without bilateral surgical oophorectomy, follicle-stimulating hormone must be assayed to confirm postmenopausal status

Performance status:

ECOG 0-2

Life expectancy:

Not specified

Hematopoietic:

Platelet count greater than 100,000/mm3
WBC greater than 3,000/mm3

Hepatic:

SGOT or SGPT less than 2.5 times upper limit of normal (ULN)

Renal:

Creatinine less than 1.5 times ULN

Cardiovascular:

No uncontrolled cardiac disease
No unstable angina
No congestive heart failure or arrhythmia requiring medical therapy
No myocardial infarction within the past 3 months

Other:

No severe osteoporosis
No other malignancies within the past 5 years except adequately treated carcinoma in situ of the cervix or basal cell skin cancer
No other serious concurrent disease that would preclude study
No psychiatric disorders that would preclude study

PRIOR CONCURRENT THERAPY:

Biologic therapy:

Not specified

Chemotherapy:

No prior neoadjuvant chemotherapy
No more than 10 weeks since completion of prior adjuvant chemotherapy

Endocrine therapy:

No prior adjuvant hormonal therapy for breast cancer
No prior neoadjuvant hormonal therapy (prior to surgery) for duration of more than 4 weeks
At least 4 weeks since prior hormone replacement therapy

Radiotherapy:

Not specified

Surgery:

See Disease Characteristics
No more than 10 weeks since completion of curative surgery

Other:

No other concurrent investigational agents or participation in another clinical study (except adjuvant cytotoxic chemotherapy studies)
Concurrent bisphosphonates allowed",4400,Birmingham,United Kingdom,England,B18 7QH,,,Completed,Phase 3,,,Cancer Research Campaign Clinical Trials Centre,exemestane,December 2001,
841,842,NCT04245176,Genetic Testing for All Breast Cancer Patients (GET FACTS),Breast Cancer,Interventional,"Inclusion Criteria

Patients with a new breast cancer diagnosis (invasive or in-situ) considering genetic testing
Patients with good understanding of written and spoken English
Patients with apparent cognitive capacity to make surgical decisions for themselves
Patients who are medically cleared for surgery
Patients must be at least age 18 but under 79

Exclusion Criteria

Previous breast cancer diagnosis (invasive or DCIS)
Metastatic breast cancer
Patients who have received prior broad-based panel testing (prior BRCA1/2 testing with negative results allowed)
Bilateral breast cancer
Known medical or surgical contraindication to contralateral mastectomy
Hematologic malignancy necessitating skin biopsy/fibroblast culture for germline genetic testing malignancy other than cervical cis or basal or squamous cell skin cancers.",450,Boston,United States,Massachusetts,02115,18 Years,79 Years,Recruiting,Not Applicable,"Anna Weiss, MD",Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,Standard Genetic Counseling,"January 31, 2020","Anna Weiss, MD"
842,843,NCT03248492,A Study of DS-8201a in Metastatic Breast Cancer Previously Treated With Trastuzumab Emtansine (T-DM1),Breast Cancer,Interventional,"Inclusion Criteria:

Men or women the age of majority in their country

Has pathologically documented breast cancer that:

is unresectable or metastatic
has HER2 positive expression confirmed per protocol
Has an adequate tumor sample
Has at least one measurable lesion per Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1
Has protocol-defined adequate cardiac, renal and hepatic function
Agrees to follow protocol-defined method(s) of contraception

Exclusion Criteria:

Has a medical history of myocardial infarction, symptomatic congestive heart failure (CHF) (NYHA classes II-IV), unstable angina or serious cardiac arrhythmia
Has a corrected QT interval (QTc) prolongation to > 450 millisecond (ms) in males and > 470 ms in females
Has a medical history of clinically significant lung disease
Is suspected to have certain other protocol-defined diseases based on imaging at screening period

Has history of any disease, metastatic condition, drug/medication use or other condition that might, per protocol or in the opinion of the investigator, compromise:

safety or well-being of the participant or offspring
safety of study staff
analysis of results",253,Anchorage,United States,Alaska,99508,18 Years,,"Active, not recruiting",Phase 2,,,"Daiichi Sankyo, Inc.",DS-8201a,"August 25, 2017",
843,844,NCT00123669,Primary Progesterone Therapy for Operable Breast Cancer,Breast Neoplasms,Interventional,"Inclusion Criteria:

Unilateral operable palpable breast cancer

Exclusion Criteria:

Previous history of excision biopsy of the primary tumour
History of other epithelial/mesenchymal malignant tumours except basal cell carcinoma/squamous cell carcinoma (BCC/SCC) of skin",1000,Mumbai,India,Maharashtra,400012,18 Years,75 Years,Completed,Phase 2,Dr Rajendra A. Badwe,Tata Memorial Centre,Tata Memorial Hospital,500 mg of depot hydroxy-progesterone,October 1997,
844,845,NCT03961269,Frequency and Presentations of Chronic Pain Following Breast Cancer Surgery: An Observational Study in a Tertiary Care Hospital of Pakistan,Breast Cancer Female,Observational,"Inclusion Criteria:

all adult female patients with known carcinoma of breast who are scheduled for elective definitive breast cancer surgery (Mastectomy)

Exclusion Criteria:

Those patients who did not give consent and those patients who need reoperation on same side for recurrence of cancer or any reason will be excluded from this study.",120,,,,,30 Years,75 Years,Completed,,Ali Sarfraz Siddiqui,Aga Khan University,Ali Sarfraz Siddiqui,,"July 15, 2016",
845,846,NCT00499122,"NOV-002, Doxorubicin, Cyclophosphamide, and Docetaxel in Women With Newly Diagnosed Stage II or IIIC Breast Cancer",Breast Cancer,Interventional,"Inclusion Criteria:

Females age 18 years or older.
The ability to provide written informed consent prior to study specific screening procedures, with the understanding that the patient has the right to withdraw from the study at any time.
Histologically confirmed infiltrating (invasive) breast cancer by core needle biopsy, with no evidence of metastatic disease except to the ipsilateral axillary lymph nodes.
Clinical stage IIB - IIIC (T2-4, N0 or N1, M0 or - any T, N1-3, M0) breast cancer. The primary tumor must be greater than or equal to 2 cm (T2-4) or with pathologically proven axillary nodal involvement (N1-3).
Patients with inflammatory breast cancer (T4) are permitted into the study.
Clinically palpable tumor that meets the criteria of RECIST for palpable measurable disease. The primary tumor must be greater than or equal to 2 cm (T2-4) or with pathologically proven axillary nodal involvement (N1-3). Bilateral synchronic breast cancers are allowed but one of the primary tumors should be selected as the target tumor.
Primary tumor may be estrogen or progesterone receptor negative or positive, and human epidermal growth factor receptor 2 (HER-2/neu) negative as determined by either Fluorescent In Situ Hybridization (FISH) or 0-2+ staining by immunohistochemistry (IHC) (Hercept™).
Normal cardiac ejection fraction (EF ≥ 50%) as determined by screening multigated acquisition scan (MUGA) or echocardiogram.
No prior history of myocardial infarction, congestive heart failure, symptomatic coronary artery disease, or cardiac arrhythmias.
Patients must be ambulatory with Eastern Cooperative Oncology Group (ECOG) Performance Status of 0-1.
The patient or her caregiver must be able to self administer daily subcutaneous injections.
Life expectancy greater than 6 months.

Exclusion Criteria:

Prior therapy of any modality for the treatment of breast cancer
Any prior therapy with an anthracycline or a taxane for any other indication
HER-2 positive breast cancer defined as either gene amplification by Fluorescent In Situ Hybridization (FISH) or 3+ staining by IHC (Hercept™).
Women who have a positive pregnancy test, no pregnancy test available, who are pregnant or who are lactating.
Women of childbearing potential must agree to use a reliable and appropriate contraceptive method, which could include a double barrier method (condom plus diaphragm), an intrauterine device or oral contraceptives. Women with ER or PR positive breast cancer, should not, however, use oral contraceptives as a method of contraception. Postmenopausal women must have been amenorrheic for at least 12 months to be considered of non-childbearing potential.
Women with breast cancer that do not have palpable breast tumors at screening.
History of another malignancy within the last 5 years except curatively treated basal cell carcinoma of the skin or cervical intraepithelial neoplasia.
Clinically significant (i.e. active) cardiac disease (NYHA Grade II or greater congestive heart failure, symptomatic coronary artery disease, unstable angina, and cardiac arrhythmia not well-controlled with medication), myocardial infarction within the last 6 months prior to study start, or screening ejection fraction of < 50%.

Any of the following abnormal laboratory values:

Absolute neutrophil count < 1.5 x 109/L
Platelet count < 100 x 109/L
Serum bilirubin > 1.5 x upper limit of normal (ULN)
Serum alanine transaminase (ALT), aspartate transaminase (AST) > 2.5 x ULN
Serum creatinine > 2.0 mg/dL or 177mmol/L or calculated creatinine clearance by the method of Cockcroft and Gault < 50mL/min).
Any severe or poorly controlled systemic disease (e.g., hypertension; clinically significant cardiovascular, pulmonary, or metabolic disease, disorders of wound-healing, ulcer or bone fracture).
Patients who have received any investigational treatment within 4 weeks of study start.
Known infection with HIV, Hepatitis B virus (HBV), or Hepatitis C virus (HCV).
Known hypersensitivity to any of the components of NOV-002 or to any of the study drugs.
Patients assessed by the investigator to be unable or unwilling to comply with the requirements of the protocol.",41,Miami,United States,Florida,33136,18 Years,120 Years,Completed,Phase 2,,,University of Miami,Cyclophosphamide,"June 4, 2007",
846,847,NCT05024591,Artificial Intelligence for breaST canceR scrEening in mAMmography (AI-STREAM),Breast Cancer,Observational,"Inclusion Criteria:

Participants must meet all of the following inclusion criteria in order to be enrolled in the study:
Be eligible for national cancer screening in the relevant year and visit the site for breast cancer screening
Provide consent for study participation using the Informed Consent Form and complete a Participant information Sheet

Exclusion Criteria:

Participants who meet any of the following criteria will be excluded from the study:
Has a history of or current breast cancer
Is currently pregnant or plans to become pregnant in the next 12 months
Has a history of breast surgery (mammoplasty or insertion of a foreign substance, such as paraffin or silicon)
Has mammography for diagnostic purposes",32714,Seongnam-si,"Korea, Republic of",,04401,40 Years,80 Years,Recruiting,,Jung Kyu Ryu,Kyung Hee University Hospital at Gangdong,Kyung Hee University Hospital at Gangdong,Lunit INSIGHT MMG CADe/x for medical imaging,"February 1, 2021","Yun-Woo Chang, MD, PhD"
847,848,NCT01278810,Phase I Study of Novel Estrogen Receptor(ER) a36 Modifier Icaritin in Advanced Breast Cancer Patients,Metastatic Breast Cancer,Interventional,"Inclusion Criteria:

Female, age ≥ 18 years old and ≤ 65 years old
The patients with advanced breast tumors who are confirmed through histologic or cytologic diagnosis with ER positive or investigator think that subjects will benefit from the trial
The advanced breast cancer patients which relapse or failure from previous standard treatment
19 ≤ BMI index ≤ 30
No serious heart, liver,lung and kidney diseases
Received at least once anti-cancer treatment (including chemotherapy, radiotherapy, biological or endocrine treatment). And the last treatment must be at least four weeks before study enrollment or more than 5 times half life. The surgery treatment must be more than three months
Life expectancy of at least 12 weeks
Patients which can cooperate to observe AE and efficacy
No any other concurrent anti-cancer treatment
A signed informed consent must be obtained prior to performing any study specific procedures
ECOG Performance Status of 0,1
Female:Women with childbearing potential must have a negative pregnancy test performed

Exclusion Criteria:

Have a known hypersensitivity to flavonoid drugs

Hepatic:

ALB >limit if normal
TB> the upper limit of normal
ALT and AST > upper limit of Normal

Renal:

Serum Creatinine > 1.5 times the upper limit of normal

Bone marrow:

Absolute neutrophil count (ANC) < 1.5 × 109/L
Platelet count < 90 × 109/L
Hemoglobin < 9 g/dL
PT/APTT > 1.25 times the upper limit of normal
Suffered from thrombotic disease
Serum Ca > the upper limit of normal
Not recovered from toxic effects of previous anti-cancer treatments or surgery
Any serious or uncontrollable concomitant systemic disorder (such as unstable respiratory disorders, cardiovascular, hepatic or kidney disorders.) or active infection which will influence the clinical trial
CNS metastases or invade requiring treatment for unstable status or various psychiatric disorders
No malabsorption or other disease which will affect the drug absorption,distribution,metabolism and excretion
Concurrent other malignancies with the exception of cervical cancer in situ or squamous Cell Carcinoma of the Skin",30,Beijing,China,Beijing,100021,18 Years,65 Years,Unknown status,Phase 1,,,Chinese Academy of Medical Sciences,Icaritin,November 2010,
848,849,NCT00757211,Study of Genes and Environment in Patients With Breast Cancer in the East Anglia Region of the United Kingdom,Breast Cancer,Observational,"DISEASE CHARACTERISTICS:

Diagnosis of breast cancer within the past 5 years
Identified through the East Anglian Cancer Registry in the East Anglia region of the United Kingdom
Hormone receptor status not specified

PATIENT CHARACTERISTICS:

Menopausal status not specified
Identified by the patient's general practitioner as fit to contact for this study
No serious mental illness or retardation

PRIOR CONCURRENT THERAPY:

Not specified",6000,Cambridge,United Kingdom,England,CB1 8RN,18 Years,70 Years,Unknown status,,,,Cancer Research UK,polymorphism analysis,February 2008,
849,850,NCT04180579,Safety of Lower Scalp Cooling Temperature to Prevent Hair Loss From Chemotherapy in Breast Cancer Patients,Breast Cancer,Interventional,"Inclusion Criteria:

Age 18 years or older
New diagnosis of breast cancer stage I-IV
Planning to undergo neoadjuvant or adjuvant chemotherapy with curative intent

Chemotherapy must be planned for at least 4 cycles of full-dose anthracycline plus cyclophosphamide followed by taxane based chemotherapy regimen:

Concurrent trastuzumab at standard doses is allowed
Concurrent pertuzumab at standard doses is allowed
Administration of chemotherapy on a dose dense schedule is allowed as clinically indicated
For women of childbearing potential, a negative pregnancy test is needed within 7 days prior to study intervention, or whenever collected as per standard of care. For women who undergo fertility preservation or ovarian stimulation, a negative pregnancy test is not needed and eligibility due to positive pregnancy test will be determined by investigator discretion.

Exclusion Criteria:

Any other concurrent malignancy including hematological malignancies (i.e. leukemia or lymphoma)
Baseline alopecia (defined CTCAE v5.0 grade > 1)
Subjects who are scheduled for bone marrow ablation chemotherapy
Male gender
Age >/= 75 years
Personal history of migraines, cluster or tension headaches as defined as actual medical diagnosis by a physician and/or prescribed medications. If personal history of migraines was related to a past medical problem that is now resolved, subject may go on study at the discretion of the Principal Investigator.
Subjects who have had prior chemotherapy
Subjects who have had >/=1 previous chemotherapy exposure resulting in alopecia
An existing history of scalp metastases or suspected presence of scalp metastasis
Subjects with cold sensitivity, cryoglobulinemia, cryofibrinogenemia, or cold migraine pot-traumatic cold dystrophy
Previously received, or scheduled to undergo skull irradiation",24,New York,United States,New York,10021,18 Years,75 Years,Recruiting,Not Applicable,,,Memorial Sloan Kettering Cancer Center,PAXMAN Scalp Cooler,"November 26, 2019","Shari Goldfarb, MD"
850,851,NCT01484483,An Observational Study to Register the Incidence of Breast Cancer and Current Clinical Care Patterns in Kenya,Breast Cancer,Observational,"Inclusion Criteria:

Histologically or cytologically confirmed breast cancer
No previous interventional therapy for breast cancer
Ability to provide written informed consent as per GCP and local regulations

Exclusion Criteria:

Participation in other clinical study where the diagnosis and treatment protocol is stated prior to enrolment
Inability to assess and follow up patient outcomes, for example quality of life due to psychiatric illness or WHO/ECOG performance status IV or worse",400,Nairobi,Kenya,,00202,18 Years,,Completed,,,,Hoffmann-La Roche,,"August 8, 2011",
851,852,NCT04569955,Knowledge and Perception of Clinical Trial Participation in Breast Cancer Patients in Egypt,Breast Cancer,Observational,"Inclusion Criteria:

Female breast cancer patients

Exclusion Criteria:

Patients who refuse participation",300,Cairo,Egypt,Select,1667,,80 Years,Recruiting,,Hagar Elghazawy,Ain Shams University,Ain Shams University,Knowledge and perception of clinical trial participation,"July 20, 2020","Hagar Elghazawy, MD"
852,853,NCT03707340,A Study of Flibanserin in Breast Cancer Survivors on Tamoxifen or Aromatase Inhibitors,Breast Cancer,Observational,"Inclusion Criteria:

Women age 21 and older
Able to swallow tablets
History of stage 0-III breast cancer that is estrogen and/or progesterone receptor positive
History of breast cancer with no current evidence of disease and have completed primary treatment with any combination of surgery, radiation and/or chemotherapy at least 3 months ago and is currently on Tamoxifen, an AI, or ovarian suppression.
Has been taking tamoxifen, an AI, ,or ovarian suppression for at least 3 months.
Has LFTS within 2 times the upper limit of normal proven by a Comprehensive Metabolic Panel (CMP) performed within 6 months of protocol enrollment and while the patient was on Tamoxifen, an AI, or ovarian suppression
Patients meet criteria for the diagnosis of HSDD as defined by the DSM-IV and ISSWSH Consensus paper. The criteria states that there must be a decrease in sexual desire and this must be a change for at least 3 months from what it was previously. Personal distress resulting from this change must occur. Initial screening will take place with The Decreased Sexual Desire Screener, a 5-question screening tool developed and validated to aid clinicians in making the diagnosis of HSDD. A ""yes"" response to the first 4 questions on the screener is consistent with HSDD.
Patients must agree to follow the guidelines for alcohol consumption during the 24 weeks of treatment on study
English speaking
Able to participate in the informed consent process

Exclusion Criteria:

Active secondary cancer requiring cytotoxic chemotherapy
History or current diagnosis of metastatic breast cancer.
Unwillingness to follow alcohol guidelines while taking flibanserin
Hepatic dysfunction (more than 2 times the upper limit of normal for alt, ast, t.bili or alk phos) proven by Comprehensive Metabolic Panel (CMP) performed within 6 months of protocol enrollment and while the patient was on Tamoxifen or an AI
Patients on strong CYP3A4 inhibitors including ketoconazole, itraconazole, posaconazole, clarithromycin, nefazodone, ritonavir, saquinavir, nelfinavir, indinavir, boceprevir, telaprevir, telithromycin, conivaptan
Patients on moderate CYP3A4 inhibitors including Amprenavir, atazanavir, ciprofloxacin, diltiazem, erythromycin, fluconazole, fosamprenavir, verapamil, grapefruit juice
Non-English speaking
Unable to participate in the informed consent process",30,Norwalk,United States,Connecticut,06850,21 Years,,Recruiting,,,,Memorial Sloan Kettering Cancer Center,Flibanserin Pill,"September 14, 2018","Shari Goldfarb, MD"
